Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
kamyk,155,95,112,38,9,9,2,21,23,0.86,180.3,118.3,0.74,0.31
Biank,74,41,57,18,5,6,2,9,14,0.85,166.8,115.6,0.59,0.19
S1Mon,313,169,225,133,9,18,6,35,19,0.83,151.5,100.7,0.71,0.3
johnqt,103,61,77,26,4,6,0,13,18,0.82,159.8,105.3,0.75,0.19
Zellsis,103,51,81,40,5,9,0,20,17,0.77,159.8,109.3,0.7,0.19
Sayf,225,119,160,56,15,20,2,22,18,0.75,155.9,100.1,0.69,0.22
LuoK1ng,74,40,60,23,4,5,0,16,13,0.74,155.8,105.2,0.66,0.34
paTiTek,155,73,112,67,10,13,1,15,18,0.73,144.0,97.8,0.7,0.25
heybay,74,31,57,22,5,7,0,8,12,0.69,134.3,89.7,0.59,0.26
carpe,45,20,35,17,4,6,1,4,14,0.63,140.5,92.1,0.67,0.27
FengF,74,35,63,12,8,15,1,8,14,0.55,151.0,104.6,0.57,0.21
lukxo,203,195,145,46,35,18,5,16,27,1.23,270.4,172.8,0.67,0.31
Cryocells,408,363,277,94,45,42,7,47,30,1.23,235.4,157.9,0.74,0.27
trent,573,432,340,194,38,34,22,87,28,1.23,211.5,144.4,0.79,0.25
zekken,385,337,263,101,79,66,7,27,26,1.19,246.7,153.7,0.76,0.28
aspas,500,436,323,69,97,74,12,41,30,1.19,241.4,152.3,0.74,0.27
Verno,500,355,281,146,26,24,16,73,22,1.18,201.0,136.7,0.77,0.25
leaf,573,484,395,168,79,57,7,60,29,1.17,241.5,156.7,0.75,0.23
johnqt,385,270,221,167,17,16,5,61,17,1.17,194.5,132.2,0.8,0.26
bang,385,295,238,157,41,30,10,28,22,1.16,212.4,132.4,0.77,0.35
v1c,367,267,234,158,28,30,10,64,27,1.15,203.4,129.9,0.77,0.34
pANcada,307,235,207,107,28,20,4,53,34,1.15,214.9,147.9,0.75,0.32
N4RRATE,385,276,252,170,34,28,5,31,25,1.12,212.3,140.2,0.77,0.23
mada,275,225,202,61,64,54,1,20,26,1.11,239.6,159.6,0.69,0.25
keznit,323,271,242,80,76,50,5,27,25,1.11,238.9,153.4,0.71,0.23
Shyy,323,236,197,62,23,19,7,48,26,1.10,190.3,130.2,0.72,0.25
s0m,275,199,184,125,21,24,4,35,25,1.09,202.8,136.3,0.8,0.3
eeiu,408,273,264,110,14,19,12,82,23,1.08,189.8,128.0,0.76,0.3
Xeppaa,367,265,243,96,29,26,11,43,22,1.07,206.4,136.8,0.73,0.27
Zap,45,34,31,9,2,1,2,9,17,1.07,205.0,135.3,0.71,0.22
Ethan,275,191,189,103,23,18,3,18,24,1.07,200.4,128.3,0.77,0.22
Demon1,229,175,165,66,27,25,4,36,22,1.05,209.2,139.4,0.72,0.38
valyn,573,418,390,210,47,52,11,54,24,1.05,201.0,128.1,0.76,0.24
jawgemo,573,452,408,128,100,84,6,34,27,1.05,224.3,139.6,0.72,0.23
Mazino,323,243,241,114,25,28,4,33,23,1.05,212.8,138.9,0.77,0.27
yay,401,327,314,64,71,53,6,40,27,1.02,224.2,147.3,0.68,0.34
mitch,367,242,255,152,21,28,12,40,25,1.01,188.4,127.5,0.74,0.22
zander,408,262,283,179,37,39,7,41,28,1.00,185.1,121.1,0.76,0.23
supamen,401,280,281,114,25,32,12,65,23,1.00,196.3,127.9,0.69,0.37
brawk,275,183,186,84,12,18,2,35,19,0.99,185.0,126.7,0.75,0.19
OXY,367,300,297,69,78,70,3,14,27,0.99,236.4,150.8,0.71,0.27
xenom,500,340,319,155,31,43,10,61,22,0.99,183.1,119.6,0.73,0.32
icy,401,316,308,63,64,67,9,40,28,0.99,220.3,146.6,0.72,0.26
cortezia,500,359,343,113,49,43,6,43,22,0.98,196.4,129.2,0.71,0.35
Derrek,401,256,269,103,17,20,10,59,22,0.98,182.6,128.6,0.73,0.3
Melser,323,199,223,117,27,29,5,44,18,0.96,177.9,117.9,0.76,0.25
dgzin,307,230,230,59,59,52,1,19,32,0.95,215.1,136.0,0.68,0.3
tex,229,159,163,41,26,24,4,31,23,0.95,198.5,132.1,0.7,0.38
lz,234,165,171,90,21,25,8,32,25,0.94,193.4,120.4,0.75,0.4
C0M,229,135,157,65,10,11,5,31,21,0.93,170.4,117.9,0.76,0.25
Askia,234,161,171,35,35,37,4,24,20,0.92,194.0,134.0,0.65,0.32
JonahP,573,308,380,293,41,41,8,68,19,0.92,161.4,103.7,0.75,0.19
Asuna,408,278,318,119,69,74,5,22,21,0.92,201.7,135.2,0.71,0.24
NaturE,401,250,292,166,22,30,11,39,20,0.91,182.0,118.1,0.73,0.23
cauanzin,307,184,212,71,17,35,5,23,18,0.90,178.3,122.2,0.68,0.23
kiNgg,229,148,167,56,31,38,3,19,22,0.89,189.1,123.0,0.69,0.28
pryze,236,140,168,52,7,16,9,40,23,0.89,168.3,114.6,0.67,0.27
tuyz,243,137,162,85,11,13,6,50,16,0.88,161.1,110.7,0.71,0.3
Zellsis,385,226,257,99,33,42,7,37,20,0.88,171.8,112.3,0.68,0.24
adverso,323,181,220,85,19,27,5,26,18,0.88,166.8,116.8,0.7,0.2
Rossy,229,143,173,85,13,23,3,22,19,0.87,174.6,115.1,0.71,0.29
Khalil,236,147,176,50,15,24,5,35,23,0.87,175.8,116.4,0.68,0.27
gobera,234,146,170,43,17,23,1,36,21,0.86,177.7,126.0,0.66,0.28
neT,367,223,252,68,28,28,4,41,23,0.85,169.6,107.3,0.7,0.29
PxS,189,106,141,76,15,21,7,29,16,0.81,164.4,105.9,0.75,0.28
silentzz,234,152,185,39,17,20,2,23,21,0.81,188.5,127.2,0.66,0.37
artzin,500,299,383,197,52,61,4,32,22,0.80,182.5,118.6,0.69,0.23
heat,236,146,180,38,15,19,5,43,23,0.80,166.4,116.2,0.61,0.41
FiNESSE,275,135,196,78,18,24,4,49,15,0.77,150.7,104.4,0.67,0.19
Boostio,408,211,309,111,31,38,2,41,24,0.75,152.4,103.7,0.65,0.3
havoc,236,156,200,32,54,51,0,11,24,0.73,184.6,121.2,0.6,0.33
raafa,236,106,178,86,9,26,2,26,18,0.66,136.0,91.0,0.66,0.2
v1nny,168,74,130,76,4,15,1,15,15,0.65,129.3,85.8,0.72,0.28
MiniBoo,239,228,155,45,52,28,2,9,23,1.26,264.3,166.5,0.75,0.31
marteen,252,222,160,56,42,31,5,21,27,1.26,249.2,162.2,0.73,0.32
Keiko,235,201,166,63,27,19,3,23,25,1.18,235.0,154.6,0.75,0.39
kaajak,271,233,184,55,50,34,2,17,28,1.17,246.1,159.5,0.73,0.28
Wo0t,239,203,160,55,35,20,3,14,22,1.17,234.0,148.6,0.75,0.35
nAts,235,193,147,42,30,24,4,27,21,1.16,223.3,145.3,0.72,0.26
RieNs,239,180,144,95,23,14,4,23,23,1.15,212.5,138.4,0.85,0.41
SUYGETSU,252,188,147,74,19,21,3,38,26,1.14,197.3,131.1,0.79,0.44
MrFaliN,293,205,197,124,30,23,6,39,38,1.13,206.5,137.7,0.71,0.22
sociablEE,269,214,176,50,23,14,6,39,40,1.12,213.3,143.0,0.73,0.28
crashies,271,192,168,78,14,16,8,34,26,1.11,199.7,131.9,0.72,0.36
Ruxic,242,177,159,91,25,23,5,34,29,1.09,213.8,136.1,0.78,0.3
Shao,242,171,152,62,13,10,6,39,25,1.08,191.9,130.5,0.75,0.35
florescent,255,216,195,51,41,40,2,24,27,1.07,235.8,151.7,0.67,0.35
kamyk,285,218,210,92,14,21,4,36,34,1.07,205.2,141.0,0.72,0.34
MAGNUM,269,192,181,87,27,23,4,28,38,1.06,204.1,131.8,0.74,0.21
CyvOph,238,175,164,75,16,22,2,27,23,1.06,208.9,125.7,0.71,0.32
LewN,269,217,195,56,58,51,3,18,42,1.05,227.4,154.4,0.7,0.33
Boo,239,143,133,90,20,15,7,37,23,1.05,164.8,105.7,0.77,0.33
Minny,285,198,194,48,26,22,5,48,25,1.05,190.7,131.3,0.68,0.35
ara,106,85,78,16,21,17,0,11,22,1.04,229.8,146.7,0.77,0.24
Avez,252,180,165,67,17,28,3,21,25,1.04,208.1,133.1,0.72,0.32
koalanoob,242,184,174,50,51,36,2,21,24,1.04,220.1,139.8,0.71,0.21
kamo,235,186,162,35,38,30,6,21,23,1.04,221.6,140.1,0.7,0.3
soulcas,230,160,160,45,16,7,5,31,23,1.03,190.6,127.7,0.73,0.35
yetujey,293,200,194,71,26,28,5,47,38,1.03,186.4,127.4,0.68,0.22
PROFEK,269,191,182,106,21,19,2,29,37,1.02,196.3,130.6,0.77,0.26
Cloud,259,198,194,61,29,26,1,35,23,1.02,206.8,137.2,0.72,0.28
Kicks,238,150,158,96,7,20,6,26,26,1.02,174.3,114.4,0.73,0.24
xeus,293,242,222,47,61,55,1,18,33,1.01,243.3,148.9,0.66,0.37
Chronicle,271,176,171,69,30,26,2,32,25,1.00,189.7,123.7,0.72,0.24
AtaKaptan,293,193,210,150,20,18,6,31,31,1.00,190.8,123.0,0.75,0.31
hiro,242,173,165,46,15,25,3,19,23,1.00,195.8,130.0,0.66,0.29
MOLSI,255,177,183,89,16,20,3,36,25,0.99,194.4,125.6,0.72,0.29
