Player, Rnd, K, D, A, FK, FD, CL, LastAlive, KMax, Rating, ACS, ADR, KAST, HS%
Shiro,344,220,244,94,32,24,6,32,23,0.93,187.6,128.1,0.69,0.27
thyy,392,242,274,153,23,20,5,53,24,0.93,177.2,113.7,0.73,0.33
Sylvan,378,228,266,167,21,38,5,42,18,0.92,179.2,120.5,0.71,0.25
JitBoyS,392,258,282,74,47,57,4,37,20,0.91,186.9,125.6,0.69,0.36
Jremy,271,192,211,58,37,49,4,21,27,0.90,201.0,131.7,0.7,0.26
Crws,392,236,272,91,28,40,6,41,20,0.90,174.2,119.8,0.65,0.25
Meiy,225,158,178,27,20,30,5,28,19,0.90,190.3,123.9,0.64,0.28
Xdll,255,178,203,59,31,24,4,27,21,0.88,200.5,129.1,0.68,0.35
kellyS,199,124,153,66,11,18,2,17,19,0.87,182.4,119.7,0.65,0.21
mindfreak,124,71,86,26,7,9,3,17,17,0.86,165.2,114.1,0.63,0.3
Wild0reoo,271,179,212,45,32,37,4,22,25,0.85,185.5,123.4,0.66,0.26
Estrella,337,189,224,112,20,25,4,35,22,0.85,162.6,103.2,0.73,0.23
2GE,271,150,202,97,14,28,2,39,19,0.81,165.3,108.7,0.66,0.23
Deryeon,78,50,68,19,15,11,0,9,16,0.81,207.5,132.3,0.69,0.25
Papi,199,110,147,63,10,18,4,21,15,0.80,152.4,98.8,0.74,0.26
Jinboong,225,121,169,48,14,29,4,33,16,0.80,157.4,111.1,0.62,0.33
SyouTa,255,147,190,48,26,18,3,32,18,0.79,162.8,108.1,0.61,0.35
Suggest,112,64,83,13,10,13,0,8,21,0.66,152.2,110.8,0.65,0.3
Art,225,94,182,69,9,28,0,18,16,0.61,135.7,92.8,0.61,0.21
patrickWHO,121,58,104,21,19,23,1,8,15,0.55,152.7,104.2,0.6,0.23
