Player,Rnd,K,D,A,FK,FD,CL,LastAlive,KMax,Rating,ACS,ADR,KAST,HS%,KD,KDA,KPR,DPR,APR,FKPR,FDPR,CLPR,LastAlivePR,CL%,BaitScore
persia,652,416,421,274,46,38,15,76,35,1.04,182.31,119.17,0.74,0.26,0.99,1.64,0.64,0.65,0.42,0.07,0.06,0.02,0.12,0.2,0.27
primmie,609,516,418,95,71,64,9,69,26,1.14,231.58,150.01,0.73,0.35,1.23,1.46,0.85,0.69,0.16,0.12,0.11,0.01,0.11,0.13,0.9
profek,513,371,350,181,35,35,12,65,37,1.03,198.39,132.12,0.73,0.28,1.06,1.58,0.72,0.68,0.35,0.07,0.07,0.02,0.13,0.18,0.38
pryze,305,172,220,73,9,17,9,51,23,0.85,164.05,110.39,0.68,0.26,0.78,1.11,0.56,0.72,0.24,0.03,0.06,0.03,0.17,0.18,0.55
purp0,393,267,300,100,48,57,3,31,22,0.92,193.43,128.09,0.69,0.36,0.89,1.22,0.68,0.76,0.25,0.12,0.15,0.01,0.08,0.1,0.28
pxs,189,106,141,76,15,21,7,29,16,0.81,164.4,105.9,0.75,0.28,0.75,1.29,0.56,0.75,0.4,0.08,0.11,0.04,0.15,0.24,0.29
qraxs,472,296,330,195,24,28,12,49,40,0.93,177.17,116.5,0.75,0.25,0.9,1.49,0.63,0.7,0.41,0.05,0.06,0.03,0.1,0.24,0.23
raafa,316,141,241,106,11,36,3,38,18,0.64,136.08,91.68,0.63,0.2,0.59,1.02,0.45,0.76,0.34,0.03,0.11,0.01,0.12,0.08,0.21
riens,428,320,281,146,44,26,7,58,23,1.11,209.36,137.96,0.8,0.42,1.14,1.66,0.75,0.66,0.34,0.1,0.06,0.02,0.14,0.12,0.45
robbiebk,192,95,124,56,14,13,1,25,18,0.9,154.3,111.0,0.71,0.28,0.77,1.22,0.49,0.65,0.29,0.07,0.07,0.01,0.13,0.04,0.34
rossy,229,143,173,85,13,23,3,22,19,0.87,174.6,115.1,0.71,0.29,0.83,1.32,0.62,0.76,0.37,0.06,0.1,0.01,0.1,0.14,0.21
runner,371,214,267,145,16,32,12,53,20,0.91,172.23,115.66,0.71,0.24,0.8,1.34,0.58,0.72,0.39,0.04,0.09,0.03,0.14,0.23,0.29
ruxic,370,273,251,140,39,37,5,48,29,1.09,214.56,136.31,0.78,0.29,1.09,1.65,0.74,0.68,0.38,0.11,0.1,0.01,0.13,0.1,0.37
s0m,458,337,309,206,40,38,6,53,30,1.1,207.67,135.42,0.8,0.28,1.09,1.76,0.74,0.67,0.45,0.09,0.08,0.01,0.12,0.11,0.28
s1mon,313,169,225,133,9,18,6,35,19,0.83,151.5,100.7,0.71,0.3,0.75,1.34,0.54,0.72,0.42,0.03,0.06,0.02,0.11,0.17,0.2
saadhak,451,278,312,168,41,58,6,34,18,0.94,184.24,119.14,0.74,0.28,0.89,1.43,0.62,0.69,0.37,0.09,0.13,0.01,0.08,0.18,0.18
sayf,712,458,484,174,50,54,11,75,24,0.93,182.67,120.92,0.7,0.24,0.95,1.31,0.64,0.68,0.24,0.07,0.08,0.02,0.11,0.15,0.41
serial,235,134,149,74,18,17,3,21,15,0.88,156.9,109.5,0.69,0.37,0.9,1.4,0.57,0.63,0.31,0.08,0.07,0.01,0.09,0.14,0.26
shao,370,261,231,100,24,17,10,59,25,1.08,189.1,127.11,0.74,0.33,1.13,1.56,0.71,0.62,0.27,0.06,0.05,0.03,0.16,0.17,0.67
sheydos,347,204,237,56,18,20,8,56,21,0.89,164.31,114.62,0.67,0.29,0.86,1.1,0.59,0.68,0.16,0.05,0.06,0.02,0.16,0.14,0.86
shiro,467,292,332,151,47,36,7,39,23,0.93,184.15,124.39,0.71,0.25,0.88,1.33,0.63,0.71,0.32,0.1,0.08,0.01,0.08,0.18,0.23
