Player,Rnd,K,D,A,FK,FD,CL,LastAlive,KMax,Rating,ACS,ADR,KAST,HS%,KD,KDA,KPR,DPR,APR,FKPR,FDPR,CLPR,LastAlivePR,CL%,BaitScore
buzz,1314,1055,971,265,230,202,16,100,30,1.05,234.26,150.46,0.7,0.21,1.09,1.36,0.8,0.74,0.2,0.18,0.15,0.01,0.08,0.16,0.41
c0m,377,238,263,103,19,22,8,49,27,0.93,180.41,123.51,0.75,0.23,0.9,1.3,0.63,0.7,0.27,0.05,0.06,0.02,0.13,0.16,0.43
carpe,342,207,241,176,23,22,7,47,19,0.97,175.5,114.51,0.74,0.33,0.86,1.59,0.61,0.7,0.51,0.07,0.06,0.02,0.14,0.15,0.23
cauanzin,511,326,365,120,43,62,6,31,22,0.92,191.51,128.51,0.67,0.25,0.89,1.22,0.64,0.71,0.23,0.08,0.12,0.01,0.06,0.19,0.23
chichoo,313,271,213,87,24,22,11,51,36,1.23,235.6,158.1,0.71,0.28,1.27,1.68,0.87,0.68,0.28,0.08,0.07,0.04,0.16,0.22,0.75
chronicle,486,325,306,144,44,43,3,50,25,1.03,192.4,126.97,0.71,0.24,1.06,1.53,0.67,0.63,0.3,0.09,0.09,0.01,0.1,0.06,0.37
click,477,333,365,57,73,100,5,23,24,0.84,196.63,123.05,0.66,0.37,0.91,1.07,0.7,0.77,0.12,0.15,0.21,0.01,0.05,0.22,0.37
cloud,435,323,315,106,48,44,3,60,23,1.04,206.52,138.13,0.7,0.29,1.03,1.36,0.74,0.72,0.24,0.11,0.1,0.01,0.14,0.05,0.58
clz,338,196,239,84,20,20,10,65,23,0.92,169.24,118.71,0.68,0.29,0.82,1.17,0.58,0.71,0.25,0.06,0.06,0.03,0.19,0.15,0.63
cortezia,873,604,610,180,80,73,8,76,29,0.93,191.27,127.66,0.69,0.35,0.99,1.29,0.69,0.7,0.21,0.09,0.08,0.01,0.09,0.11,0.42
crashies,486,311,299,127,24,28,13,69,26,1.01,180.06,123.1,0.73,0.35,1.04,1.46,0.64,0.62,0.26,0.05,0.06,0.03,0.14,0.19,0.57
crazyguy,341,226,224,120,24,20,7,35,23,1.01,195.3,131.6,0.74,0.25,1.01,1.54,0.66,0.66,0.35,0.07,0.06,0.02,0.1,0.2,0.29
crws,609,343,423,159,39,58,9,63,24,0.85,164.19,111.36,0.66,0.25,0.81,1.19,0.56,0.69,0.26,0.06,0.1,0.01,0.1,0.14,0.32
cryocells,578,501,392,135,68,55,11,67,30,1.21,234.96,156.78,0.76,0.28,1.28,1.62,0.87,0.68,0.23,0.12,0.1,0.02,0.12,0.16,0.63
cyvoph,238,175,164,75,16,22,2,27,23,1.06,208.9,125.7,0.71,0.32,1.07,1.52,0.74,0.69,0.32,0.07,0.09,0.01,0.11,0.07,0.38
d4v41,529,365,360,155,41,35,9,65,27,0.96,188.19,126.5,0.78,0.26,1.01,1.44,0.69,0.68,0.29,0.08,0.07,0.02,0.12,0.14,0.43
dambi,652,466,500,192,115,121,6,34,26,0.91,214.57,134.63,0.7,0.22,0.93,1.32,0.71,0.77,0.29,0.18,0.19,0.01,0.05,0.18,0.17
demon1,377,278,276,110,39,48,4,45,23,0.99,204.84,138.54,0.71,0.33,1.01,1.41,0.74,0.73,0.29,0.1,0.13,0.01,0.12,0.09,0.41
dep,235,179,179,41,36,44,4,20,28,0.98,216.72,139.79,0.62,0.28,1.0,1.23,0.76,0.76,0.17,0.15,0.19,0.02,0.09,0.2,0.49
derke,712,584,532,134,159,153,9,47,32,1.08,238.48,154.64,0.68,0.25,1.1,1.35,0.82,0.75,0.19,0.22,0.21,0.01,0.07,0.19,0.39
derrek,529,334,363,147,22,32,11,78,22,0.95,180.71,125.38,0.73,0.31,0.92,1.33,0.63,0.69,0.28,0.04,0.06,0.02,0.15,0.14,0.49
deryeon,242,145,175,48,26,30,2,29,18,0.86,172.12,115.43,0.68,0.26,0.83,1.1,0.6,0.72,0.2,0.11,0.12,0.01,0.12,0.07,0.5
dgzin,511,405,360,84,101,76,3,35,32,1.05,224.6,144.02,0.69,0.28,1.12,1.36,0.79,0.7,0.16,0.2,0.15,0.01,0.07,0.09,0.47
dos9,467,338,308,210,39,29,17,71,35,1.14,203.77,130.58,0.76,0.27,1.1,1.78,0.72,0.66,0.45,0.08,0.06,0.04,0.15,0.24,0.37
eeiu,578,402,371,165,24,27,16,105,26,1.08,192.24,128.29,0.77,0.33,1.08,1.53,0.7,0.64,0.29,0.04,0.05,0.03,0.18,0.15,0.69
elite,451,262,287,107,29,34,6,57,20,0.94,168.54,113.65,0.75,0.37,0.91,1.29,0.58,0.64,0.24,0.06,0.08,0.01,0.13,0.11,0.49
estrella,606,362,390,237,37,43,12,76,28,0.95,170.95,111.55,0.75,0.27,0.93,1.54,0.6,0.64,0.39,0.06,0.07,0.02,0.13,0.16,0.3
ethan,458,305,310,184,31,33,8,38,24,1.05,195.45,126.34,0.75,0.24,0.98,1.58,0.67,0.68,0.4,0.07,0.07,0.02,0.08,0.21,0.2
f0rsaken,529,411,378,179,74,82,7,37,24,1.06,217.48,139.6,0.74,0.29,1.09,1.56,0.78,0.71,0.34,0.14,0.16,0.01,0.07,0.19,0.22
famouz,467,378,352,95,90,91,5,38,29,1.0,228.88,145.7,0.71,0.19,1.07,1.34,0.81,0.75,0.2,0.19,0.19,0.01,0.08,0.13,0.43
fengf,74,35,63,12,8,15,1,8,14,0.55,151.0,104.6,0.57,0.21,0.56,0.75,0.47,0.85,0.16,0.11,0.2,0.01,0.11,0.12,0.37
filu,347,261,273,68,53,61,4,33,22,0.94,214.28,136.84,0.66,0.27,0.96,1.21,0.75,0.79,0.2,0.15,0.18,0.01,0.1,0.12,0.46
finesse,458,221,322,137,27,42,5,69,16,0.78,148.46,102.48,0.67,0.19,0.69,1.11,0.48,0.7,0.3,0.06,0.09,0.01,0.15,0.07,0.35
flashback,587,400,384,124,63,55,11,76,26,1.0,190.63,127.2,0.74,0.25,1.04,1.36,0.68,0.65,0.21,0.11,0.09,0.02,0.13,0.14,0.64
flickless,106,65,72,40,5,13,1,5,19,0.93,172.4,116.5,0.74,0.33,0.9,1.46,0.61,0.68,0.38,0.05,0.12,0.01,0.05,0.2,0.11
florescent,366,317,282,68,63,55,3,36,27,1.1,242.11,158.13,0.68,0.36,1.12,1.37,0.87,0.77,0.19,0.17,0.15,0.01,0.1,0.08,0.6
flyuh,347,214,272,90,32,47,2,28,21,0.82,182.62,122.97,0.7,0.26,0.79,1.12,0.62,0.78,0.26,0.09,0.14,0.01,0.08,0.07,0.24
foxy9,534,395,340,94,53,41,10,52,23,1.06,203.33,132.02,0.73,0.35,1.16,1.44,0.74,0.64,0.18,0.1,0.08,0.02,0.1,0.19,0.64
